Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,17,18,19,20,21
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"12 different domains(/news), ordered in 4 different ways, with 9-10 results on average",,,,,,,,,,
(news)Supreme Court...,2,3,2,3,2,3,2,2,2,,,,,,,,,,,,
"(news)In court filing, ICE...",3,2,3,2,3,2,3,3,3,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro...,4,0,4,0,4,0,4,4,4,,,,,,,,,,,,
https://www.ice.gov,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,8,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,9,9,9,9,8,9,9,9,,,,,,,,,,,,
(news)Susan Rice burns sage..,0,4,0,4,0,4,0,0,0,,,,,,,,,,,,
travel.state.gov/immigrate/step-1-submit-a-petition ,0,10,10,10,10,0,0,10,10,,,,,,,,,,,,
https://www.aila.org,,,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Signed out,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"15 different domains, ordered in 4 different ways, with 9-10 search results on average",,,,,,,,,,
(news)Supreme Court... (npr),2,3,2,3,0,3,2,2,2,,,,,,,,,,,,
"(news)In court filing, ICE... (nbc)",3,2,3,2,0,2,3,3,3,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro... (boston herald),4,0,4,0,0,0,4,4,4,,,,,,,,,,,,
https://www.ice.gov,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,8,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,9,9,9,0,8,9,9,9,,,,,,,,,,,,
(news)Susan Rice burns sage.. (the independent),0,4,0,4,0,4,0,0,0,,,,,,,,,,,,
travel.state.gov/immigrate/step-1-submit-a-petition ,0,10,10,10,0,0,0,10,10,,,,,,,,,,,,
https://www.aila.org,0,0,0,0,9,10,0,0,0,,,,,,,,,,,,
"(news)Trump and Biden spar 
over immigration and 
‘spiraling tsunami’ at the 
border... (boston herald)",0,0,0,0,2,0,0,0,0,,,,,,,,,,,,
"(news)What the Horrific Crash 
on the Border Says... (propublica)",0,0,0,0,3,0,0,0,0,,,,,,,,,,,,
"(news)Sen. Cardin: 'We really do 
need comprehensive 
immigration reform ... (fox news)",0,0,0,0,4,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Signed in,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"17 different domains, ordered in 7 different ways, with an average of 9-10 search results on the first page.",,,,,,,,,,
(news)Supreme Court... (npr),2,0,2,3,0,3,2,2,0,,,,,,,,,,,,
"(news)In court filing, ICE... (nbc)",3,0,3,2,0,2,3,3,0,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro... (boston herald),4,0,4,0,0,0,4,4,0,,,,,,,,,,,,
https://www.ice.gov,5,3,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,2,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,5,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,4,9,9,0,8,9,9,0,,,,,,,,,,,,
(news)Susan Rice burns sage.. (the independent),0,0,0,4,0,4,0,0,0,,,,,,,,,,,,
travel.state.gov/immigrate/step-1-submit-a-petition ,0,0,10,10,0,0,0,10,0,,,,,,,,,,,,
https://www.aila.org,0,10,0,0,9,10,0,0,9,,,,,,,,,,,,
"(news)Trump and Biden spar 
over immigration and 
‘spiraling tsunami’ at the 
border... (boston herald)",0,0,0,0,2,0,0,0,2,,,,,,,,,,,,
"(news)What the Horrific Crash 
on the Border Says... (propublica)",0,0,0,0,3,0,0,0,3,,,,,,,,,,,,
"(news)Sen. Cardin: 'We really do 
need comprehensive 
immigration reform ... (fox news)",0,0,0,0,4,0,0,0,4,,,,,,,,,,,,
www.americanimmigrationcouncil.org,0,8,0,0,0,0,0,0,0,,,,,,,,,,,,
www.americanprogress.org,0,9,0,0,0,0,0,0,0,,,,,,,,,,,,
www.dhs.gov/topic/immigration-and-customs-enforcement,0,6,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gun Control Incognito,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Joe Manchin Wants to 
Pass a Popular Gun 
Control Bill That Will 
Save Lives (the new republic)",1,1,1,1,1,1,1,1,1,,"12 different domains, ordered in 2 different ways, with an average of 12 search results on the first page.",,,,,,,,,,
"(news)GOP state lawmakers 
seek to nullify federal 
gun limits (abc)",2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
"(news)Why Are Lifetime Gun 
Bans Being Imposed on 
Tax Cheats? (National Review)",3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
https://en.wikipedia.org,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
https://www.britannica.com/technology/gun-control ,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.britannica.com/story/gun-control-in-the-us,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://www.atf.gov,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.justfacts.com,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,
https://www.dw.com,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,
https://joebiden.com,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
https://www.pewresearch.org,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,
https://newrepublic.com,12,0,12,0,0,0,12,12,0,,,,,,,,,,,,
https://gun-control.procon.org,0,12,0,12,12,12,0,0,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gun Control Signed Out,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Joe Manchin Wants to 
Pass a Popular Gun 
Control Bill That Will 
Save Lives (the new republic)",1,1,1,1,1,1,1,1,1,,"12 different domains, ordered in 3 different ways, with an average of 12 search results on the first page.",,,,,,,,,,
"(news)GOP state lawmakers 
seek to nullify federal 
gun limits (abc)",2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
"(news)Why Are Lifetime Gun 
Bans Being Imposed on 
Tax Cheats? (National Review)",3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
https://en.wikipedia.org,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
https://www.britannica.com/technology/gun-control ,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.britannica.com/story/gun-control-in-the-us,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://www.atf.gov,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.justfacts.com,8,8,8,8,8,8,9,8,8,,,,,,,,,,,,
https://www.dw.com,9,9,9,9,9,9,8,9,9,,,,,,,,,,,,
https://joebiden.com,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,
https://www.pewresearch.org,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,
https://newrepublic.com,12,0,12,0,0,0,12,12,12,,,,,,,,,,,,
https://gun-control.procon.org,0,12,0,12,12,12,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gun Control Signed in,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Joe Manchin Wants to 
Pass a Popular Gun 
Control Bill That Will 
Save Lives (the new republic)",1,1,1,1,1,1,1,1,1,,"13 different domains, ordered in 4 different ways, with an average of 12 search results on the first page.",,,,,,,,,,
"(news)GOP state lawmakers 
seek to nullify federal 
gun limits (abc)",2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
"(news)Why Are Lifetime Gun 
Bans Being Imposed on 
Tax Cheats? (National Review)",3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
https://en.wikipedia.org,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
https://www.britannica.com/technology/gun-control ,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.britannica.com/story/gun-control-in-the-us,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://www.atf.gov,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.justfacts.com,8,8,8,8,8,8,9,8,8,,,,,,,,,,,,
https://www.dw.com,10,9,10,9,9,9,8,9,9,,,,,,,,,,,,
https://joebiden.com,9,10,9,11,10,11,10,10,10,,,,,,,,,,,,
https://www.pewresearch.org,11,11,11,10,11,10,11,11,11,,,,,,,,,,,,
https://newrepublic.com,12,0,12,0,0,0,12,12,0,,,,,,,,,,,,
https://gun-control.procon.org,0,12,0,12,12,12,0,0,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vaccinations Incognito,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Covid-19 News: Live 
Updates on the Virus, 
Vaccines and Variants(NYT)",1,0,0,0,0,0,0,0,0,,"31 different domains, ordered in different ways completely (9 different ways), with an avg of 12 results",,,,,,,,,,
"(news)Russian Disinformation 
Campaign Aims to 
Undermine Con¡dence 
in Pfizer, Other Covid-19… (WSJ)",2,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)Lynn Haven vaccination 
clinic looks to vaccinate 
vulnerable community 
members(mypanhandle.com)",3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://www.cdc.gov/vaccines/covid-19,5,5,5,5,5,4,5,4,4,,,,,,,,,,,,
https://www.cdc.gov/vaccines/vpd/vaccines-diseases,4,6,4,0,6,5,6,0,5,,,,,,,,,,,,
https://www.sccgov.org,6,8,8,8,7,0,7,7,7,,,,,,,,,,,,
https://www.who.int/health-topics,7,11,11,12,10,8,10,10,0,,,,,,,,,,,,
https://www.who.int/newsroom,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://en.wikipedia.org,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://covid19.ca.gov/vaccines,10,0,0,10,0,0,0,0,0,,,,,,,,,,,,
https://ourworldindata.org/covid-vaccinations ,11,10,10,6,9,7,9,8,8,,,,,,,,,,,,
https://www.cnn.com/herd-immunity-usa-vaccines-alone,12,7,7,7,8,0,8,6,0,,,,,,,,,,,,
"(news)US could reach herd 
immunity by summer 
through vaccinations 
alone, CNN analysis(cnn)",0,1,1,1,1,2,0,2,2,,,,,,,,,,,,
"(news)Coronavirus in Illinois: 
1,068 New Cases, 14 
Deaths, Nearly 100K 
Vaccinations Reported (nbc channel 5)",0,2,0,3,3,0,0,0,3,,,,,,,,,,,,
"(news)Helping Latinos 
Overcome Obstacles To 
Getting Vaccinated(npr)",0,3,2,2,2,0,0,0,,,,,,,,,,,,,
www.healthline.com/health/vaccinations,0,4,6,4,4,6,4,5,6,,,,,,,,,,,,
ww.sccgov.org/pages/dashboard-vaccine-CAIR2,0,9,9,9,0,0,0,0,0,,,,,,,,,,,,
(news)Fauci Upbeat on Covid-19 vaccinations... (reuters),0,0,3,0,0,0,0,0,0,,,,,,,,,,,,
https://npr.org,0,0,12,11,11,9,0,9,9,,,,,,,,,,,,
www.sutterhealth.org,0,0,0,0,12,0,0,11,0,,,,,,,,,,,,
"(news)The Dalai Lama Gets A 
COVID-19 Shot And 
Urges Others To Get 
Vaccinated(npr)",0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
"(news)Mass. reports 703,676 
people have been fully 
vaccinated against 
COVID-19(boston.com)",0,0,0,0,0,3,0,3,0,,,,,,,,,,,,
www.nytimes.com,0,0,0,0,0,10,,0,10,,,,,,,,,,,,
www.medicinenet.com,0,0,0,0,0,11,12,0,,,,,,,,,,,,,
www.cnn.com/interactive/health/global-covid-vaccinations-by-country,0,0,0,0,0,12,0,0,11,,,,,,,,,,,,
"(news)You've been vaccinated 
— the CDC is ¡nalizing 
guidance on what's safe 
for you to do (cbs)",0,0,0,0,0,0,1,1,1,,,,,,,,,,,,
"(news)Virus Outbreak: News 
and Analysis From 
March 7  (Bloomberg)",0,0,0,0,0,0,2,0,0,,,,,,,,,,,,
"(news)US vaccinations are 
accelerating. But experts 
say you should keep 
wearing a mask(Vox)",0,0,0,0,0,0,3,0,0,,,,,,,,,,,,
https://kidshealth.org,0,0,0,0,0,0,11,0,0,,,,,,,,,,,,
www.sfchronicle.com,0,0,0,0,0,0,0,12,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vaccinations signed out,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Covid-19 News: Live 
Updates on the Virus, 
Vaccines and Variants(NYT)",1,0,0,1,0,0,0,1,0,,"33 different domains, ordered in different ways completely (9 different ways), with an avg of 12 results",,,,,,,,,,
"(news)Russian Disinformation 
Campaign Aims to 
Undermine Con¡dence 
in Pfizer, Other Covid-19… (WSJ)",2,0,0,0,0,0,0,2,0,,,,,,,,,,,,
"(news)Lynn Haven vaccination 
clinic looks to vaccinate 
vulnerable community 
members(mypanhandle.com)",3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://www.cdc.gov/vaccines/covid-19,5,5,5,5,5,4,6,5,4,,,,,,,,,,,,
https://www.cdc.gov/vaccines/vpd/vaccines-diseases,4,6,4,4,6,5,5,4,5,,,,,,,,,,,,
https://www.sccgov.org,6,8,8,6,7,0,7,6,7,,,,,,,,,,,,
https://www.who.int/health-topics,7,10,9,7,10,8,9,7,0,,,,,,,,,,,,
https://www.who.int/newsroom,8,0,0,0,0,0,0,8,0,,,,,,,,,,,,
https://en.wikipedia.org,9,0,0,9,0,0,0,10,0,,,,,,,,,,,,
https://covid19.ca.gov/vaccines,10,0,10,10,0,0,0,11,0,,,,,,,,,,,,
https://ourworldindata.org/covid-vaccinations ,11,9,7,8,9,7,8,9,8,,,,,,,,,,,,
https://www.cnn.com/herd-immunity-usa-vaccines-alone,12,7,0,11,8,0,,12,0,,,,,,,,,,,,
"(news)US could reach herd 
immunity by summer 
through vaccinations 
alone, CNN analysis(cnn)",0,1,2,0,1,2,2,0,2,,,,,,,,,,,,
"(news)Coronavirus in Illinois: 
1,068 New Cases, 14 
Deaths, Nearly 100K 
Vaccinations Reported (nbc channel 5)",0,3,0,0,3,0,0,0,3,,,,,,,,,,,,
"(news)Helping Latinos 
Overcome Obstacles To 
Getting Vaccinated(npr)",0,2,2,0,2,0,0,0,0,,,,,,,,,,,,
www.healthline.com/health/vaccinations,0,4,6,0,4,6,4,0,6,,,,,,,,,,,,
ww.sccgov.org/pages/dashboard-vaccine-CAIR2,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,
(news)Fauci Upbeat on Covid-19 vaccinations... (reuters),0,0,3,0,0,0,0,0,0,,,,,,,,,,,,
https://npr.org,0,11,11,0,11,9,0,0,9,,,,,,,,,,,,
www.sutterhealth.org,0,0,0,0,12,0,0,0,0,,,,,,,,,,,,
"(news)The Dalai Lama Gets A 
COVID-19 Shot And 
Urges Others To Get 
Vaccinated(npr)",0,0,1,0,0,1,1,0,0,,,,,,,,,,,,
"(news)Mass. reports 703,676 
people have been fully 
vaccinated against 
COVID-19(boston.com)",0,0,3,0,0,3,,0,0,,,,,,,,,,,,
www.nytimes.com,0,0,0,0,0,10,10,0,10,,,,,,,,,,,,
www.medicinenet.com,0,0,0,0,0,11,12,0,,,,,,,,,,,,,
www.cnn.com/interactive/health/global-covid-vaccinations-by-country,0,0,0,0,0,12,11,0,11,,,,,,,,,,,,
"(news)You've been vaccinated 
— the CDC is ¡nalizing 
guidance on what's safe 
for you to do (cbs)",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,
"(news)Virus Outbreak: News 
and Analysis From 
March 7  (Bloomberg)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)US vaccinations are 
accelerating. But experts 
say you should keep 
wearing a mask(Vox)",0,0,0,0,0,0,3,0,0,,,,,,,,,,,,
https://kidshealth.org,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
www.sfchronicle.com,0,0,0,12,0,0,0,0,0,,,,,,,,,,,,
"(news)The Differences Between 
the Vaccines Matter (the atlantic)",0,0,0,2,0,0,0,0,0,,,,,,,,,,,,
"(news)3,000 at Romania anti- 
vaccination protest amid 
COVID-19 rise(abc)",0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vaccinations signed in,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
"(news)Covid-19 News: Live 
Updates on the Virus, 
Vaccines and Variants(NYT)",0,0,0,0,0,0,0,0,0,,"34 different domains, ordered in different ways completely (9 different ways), with an avg of 12 results",,,,,,,,,,
"(news)Russian Disinformation 
Campaign Aims to 
Undermine Con¡dence 
in Pfizer, Other Covid-19… (WSJ)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)Lynn Haven vaccination 
clinic looks to vaccinate 
vulnerable community 
members(mypanhandle.com)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://www.cdc.gov/vaccines/covid-19,5,5,5,5,5,4,5,4,5,,,,,,,,,,,,
https://www.cdc.gov/vaccines/vpd/vaccines-diseases,6,6,0,0,6,5,6,0,6,,,,,,,,,,,,
https://www.sccgov.org,7,8,8,8,7,,7,7,8,,,,,,,,,,,,
https://www.who.int/health-topics,9,11,11,12,10,10,9,0,11,,,,,,,,,,,,
https://www.who.int/newsroom,0,0,0,0,0,9,0,10,0,,,,,,,,,,,,
https://en.wikipedia.org,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
https://covid19.ca.gov/vaccines,0,0,12,10,0,0,0,0,0,,,,,,,,,,,,
https://ourworldindata.org/covid-vaccinations ,8,10,6,6,9,8,8,8,10,,,,,,,,,,,,
https://www.cnn.com/herd-immunity-usa-vaccines-alone,0,7,7,7,8,7,0,6,7,,,,,,,,,,,,
"(news)US could reach herd 
immunity by summer 
through vaccinations 
alone, CNN analysis(cnn)",0,1,2,2,1,1,2,1,2,,,,,,,,,,,,
"(news)Coronavirus in Illinois: 
1,068 New Cases, 14 
Deaths, Nearly 100K 
Vaccinations Reported (nbc channel 5)",2,3,3,0,3,3,0,0,3,,,,,,,,,,,,
"(news)Helping Latinos 
Overcome Obstacles To 
Getting Vaccinated(npr)",1,2,,0,2,2,0,2,,,,,,,,,,,,,
www.healthline.com/health/vaccinations,4,4,4,4,4,6,4,5,4,,,,,,,,,,,,
ww.sccgov.org/pages/dashboard-vaccine-CAIR2,0,9,9,9,0,0,0,0,9,,,,,,,,,,,,
(news)Fauci Upbeat on Covid-19 vaccinations... (reuters),0,0,0,0,0,0,0,3,0,,,,,,,,,,,,
https://npr.org,10,12,10,11,11,11,0,9,12,,,,,,,,,,,,
www.sutterhealth.org,0,0,0,0,12,,0,11,0,,,,,,,,,,,,
"(news)The Dalai Lama Gets A 
COVID-19 Shot And 
Urges Others To Get 
Vaccinated(npr)",0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
"(news)Mass. reports 703,676 
people have been fully 
vaccinated against 
COVID-19(boston.com)",0,0,0,0,0,0,,0,0,,,,,,,,,,,,
www.nytimes.com,12,0,0,0,0,0,10,0,0,,,,,,,,,,,,
www.medicinenet.com,,0,0,0,0,0,12,0,0,,,,,,,,,,,,
www.cnn.com/interactive/health/global-covid-vaccinations-by-country,11,,0,0,0,0,11,0,0,,,,,,,,,,,,
"(news)You've been vaccinated 
— the CDC is ¡nalizing 
guidance on what's safe 
for you to do (cbs)",0,0,1,1,0,0,0,,1,,,,,,,,,,,,
"(news)Virus Outbreak: News 
and Analysis From 
March 7  (Bloomberg)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)US vaccinations are 
accelerating. But experts 
say you should keep 
wearing a mask(Vox)",0,0,0,0,0,0,3,0,0,,,,,,,,,,,,
https://kidshealth.org,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
www.sfchronicle.com,0,0,0,0,0,0,0,12,0,,,,,,,,,,,,
"(news)The Differences Between 
the Vaccines Matter (the atlantic)",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)3,000 at Romania anti- 
vaccination protest amid 
COVID-19 rise(abc)",0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"(news)Your employer can ask 
whether you’ve received 
the coronavirus vaccine 
— and even require it(Washington Post)",3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"(news)In Washington County, 
vaccinations are a team 
effort (the post star)",0,0,0,3,0,0,0,0,0,,,,,,,,,,,,