,#1,#2,#3,#4,#5,#6,#7,#8,#9
,1,0,0,1,0,0,0,1,0
,2,0,0,0,0,0,0,2,0
,3,0,0,0,0,0,0,0,0
,5,5,5,5,5,4,6,5,4
,4,6,4,4,6,5,5,4,5
,6,8,8,6,7,0,7,6,7
,7,10,9,7,10,8,9,7,0
,8,0,0,0,0,0,0,8,0
,9,0,0,9,0,0,0,10,0
,10,0,10,10,0,0,0,11,0
,11,9,7,8,9,7,8,9,8
,12,7,0,11,8,0,0,12,0
,0,1,2,0,1,2,2,0,2
,0,3,0,0,3,0,0,0,3
,0,2,2,0,2,0,0,0,0
,0,4,6,0,4,6,4,0,6
,0,0,9,0,0,0,0,0,0
,0,0,3,0,0,0,0,0,0
,0,11,11,0,11,9,0,0,9
,0,0,0,0,12,0,0,0,0
,0,0,1,0,0,1,1,0,0
,0,0,3,0,0,3,0,0,0
,0,0,0,0,0,10,10,0,10
,0,0,0,0,0,11,12,0,
,0,0,0,0,0,12,11,0,11
,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,12,0,0,0,0,0
,0,0,0,2,0,0,0,0,0
,0,0,0,3,0,0,0,3,0